Tipo,"Nombre del
Contenedor / Servicio",Alojado en,"Puerto
Externo (Host)","Puerto Interno
(Contenedor)",Comentario,Se conecta a:,IP,Acceso
App Web en React,sist_catalogos-frontend,DC MOPC,3002,80,"A través de este sistema administramos varios catálogos, como Gremios, EOTS, Rutas, itinerarios, paradas, usuarios, entidades...
Inclusive un catálogo de sistemas, y vamos otorgando permisos a los usuarios según sus roles a los diferentes sistemas...",BD_CID,0.232,172.16.222.222:3002
FastAPI en Python,sist_catalogos-backend,DC MOPC,8002,8001,,BD_CID,0.232,
App Web en React,sistema_perfiles-frontend,DC MOPC,3008,3008 (y expone 80),"Sistema para carga de perfiles especiales, disponibilizado a las instituciones que manejan Perfiles Especiales... MEC en el caso de estuantes y SENADIS en el caso de PcD(visuales y generales)... está preparado para ampliar a más entidades. Desarrollado a fin de disminuir el trámite burocrático que acarreaba el ciclo iterativo de control de registros duplicados y la recepción, verificación, validación, solicitud a las EPS, etc.. ya está en etapa de producción, y mejoras según los requerimientos de las instituciones",BD_CID,0.232,https://sistemas.mopc.gov.py/perfiles_especiales/ 
FastAPI en Python,sistema_perfiles-backend,DC MOPC,8011,8011,,BD_CID,0.232,
App Web en React,validaciones-frontend,DC MOPC,80,80,"Panel Georeferenciado de validaciones, con histórico por franjas y enlazado con áreas por ciudad y barrios de todo el Departamento Central. Desarrollado a pedido del Viceministro, informado a través del Memo CID 358-25 - Remisión de Plataforma Web de Análisis Georreferenciado para incorporación como activo de software institucional.docx",,,https://sistemas.mopc.gov.py/validaciones/
FastAPI en Python,validaciones-backend,DC MOPC,5000,5000,,,,
App Web en React,cbd-monitor-frontend,DC MOPC,8080,80,"Programa desarrollado para dar cumplimiento a lo establecido en la Resolución GVMT N° 120/2025 y sus modificatorias. Está disponibilizado a las EOTs a fin de que los mismos tengan conocimiento y le den seguimiento constante a los procesos de monitoreo. Consta de 3 módulos(Frontend, backend y script de ejecución diaria)... Memo CID-52-26 Puesta en producción de la herramienta de monitoreo (Res. 120/2025) y propuesta de formalización de acceso para EOTs..docx",BD_CID,,https://sistemas.mopc.gov.py/cbd_monitor/#/admin/users
FastAPI en Python,cbd-monitor-backend,DC MOPC,5001,5000,,BD_CID,,
Script en Python,detectar_lluvia,DC MOPC,,,Se conecta a una API externa(openmeteo) a fin de calcular los niveles de lluvia en el Dpto Central,,,ssh
Script en Python,servicios_diarios,DC MOPC,,,Calcula los buses en operación en base a los datos de billetaje,,,ssh
Script en Python,bus_monitor,DC MOPC,,,Calcula los buses en operación en base a los datos de GPS,,,ssh
Script en Python,calcular_ifo,DC MOPC,,,Es el script que procesa los datos según las especificaciones de la Res. 120. precisa de los 3 scripts anteriores...  El script envía un reporte a cada empresa del avance de su desempeño en el mes...,BD_CID / MONITOREO / BILLETAJE,,ssh
App Web en React,sist-transporte-frontend,DC MOPC,3003,3003 (y expone 80),"Herramienta desarrollada inicialmente para monitorear y dar respuestas a los distintos reclamos ciudadanos y pedidos de información recibidos... Se le fueron agregando funcionalidades a medida que venían los pedidos, luego el Viceministro al encontrar de gran utilidad el gráfico de control operacional y otras funcionalidades, solicitó tener acceso constante a dicha herramienta, por lo que se disponibilizó en la URL: https://sistemas.mopc.gov.py/monitoreo_vmt/ ",,,https://sistemas.mopc.gov.py/monitoreo_vmt/ 
FastAPI en Python,sist-transporte-backend,DC MOPC,8010,8010,,,,
Tablero web en Python,sist-transporte-streamlit,DC MOPC,8501,8501,,,,
Script en Python,monitoreo-servicios-especiales,DC MOPC,8506,8506,"Inicialmente, se desarrolló un solo script para monitorear Búho 1(Memo CID-56-25 Informe sobre herramienta.docx ). Posteriormente, como avanzaban los servicios especiales(Búhos 2 a 4, y también servicios eléctricos), se amplió la funcionalidad del sistema, se catalogan los servicios especiales en el Sistema de Catálogos, y este sistema automáticamente ya detecta el nuevo servicio y lo monitorea",,,
Tablero web en Python,dashboard_transbordos,DC MOPC,8505,8501,Análisis de Transbordos,,,http://172.16.222.222:8501/monitoreo_vmt/transbordos/
,streamlit-dmt-44-2026,DC MOPC,8504,8504,Velocidad comercial por tramos,,,http://172.16.222.222:8504/
,analisis-billetaje-streamlit,DC MOPC,8502,8501,No está levantado,,,
,dashboard_buho,DC MOPC,8503,8503,Análisis Operativo de Buhos,,,http://172.16.222.222:8503/
Sistemas de Automatización,Prefect,DC MOPC,,4201,,,,
,N8N,DC MOPC,5678,5678,N8N,,,http://172.16.222.222:5678/signin?redirect=%252F
SISTEMA DE PARQUE,Frontend,DC MOPC,81,,Sistema de Gestión de Parque para el Departamento de Registro y Habilitación,,,http://172.16.222.222:81/
,Backend,DC MOPC,8081,,,,,
A DESARROLLAR,SISTEMA DE GESTIÓN DE RECLAMOS,,,,,,,
EN DESARROLLO (CONACYT),SISTEMA DE GEOLOCALIZACIÓN DE BUSES,,,,,,,
